# ID_V                   ID_I                      RA             DEC
  0161.910_0243.004V     0161.285_0242.894i   17:40:22.763   -53:41:23.06
  0162.191_0909.700V     0162.499_0908.605i   17:40:22.462   -53:35:51.94
  0162.285_1059.306V     0161.569_1059.256i   17:40:22.397   -53:34:37.64
  0162.720_0326.135V     0162.154_0325.956i   17:40:22.769   -53:40:41.77
  0163.120_0388.457V     0162.410_0388.321i   17:40:22.762   -53:40:10.81
  0163.513_0084.291V     0163.037_0084.116i   17:40:22.928   -53:42:41.88
  0163.703_0144.394V     0162.972_0144.210i   17:40:22.910   -53:42:12.02
  0163.948_0121.675V     0163.310_0121.444i   17:40:22.935   -53:42:23.31
  0164.349_0464.850V     0163.821_0464.883i   17:40:22.794   -53:39:32.87
  0164.391_0455.431V     0163.724_0455.131i   17:40:22.801   -53:39:37.55
  0164.525_0392.768V     0163.866_0392.706i   17:40:22.838   -53:40:08.67
  0164.850_0990.293V     0164.226_0990.148i   17:40:22.572   -53:35:11.90
  0164.889_0341.283V     0164.245_0340.941i   17:40:22.883   -53:40:34.23
  0165.019_0238.487V     0164.417_0238.202i   17:40:22.939   -53:41:25.29
  0165.264_0606.209V     0164.694_0606.203i   17:40:22.778   -53:38:22.66
  0166.121_0459.791V     0165.397_0459.683i   17:40:22.895   -53:39:35.37
  0166.135_1062.082V     0165.526_1061.909i   17:40:22.610   -53:34:36.25
  0166.507_0254.983V     0165.840_0254.689i   17:40:23.014   -53:41:17.09
  0167.149_0585.379V     0166.417_0585.218i   17:40:22.893   -53:38:32.99
  0168.057_0645.308V     0167.388_0644.898i   17:40:22.915   -53:38:03.23
  0169.370_0213.363V     0168.767_0213.179i   17:40:23.194   -53:41:37.75
  0169.391_0967.375V     0168.845_0966.483i   17:40:22.836   -53:35:23.27
  0169.727_0245.583V     0169.043_0245.403i   17:40:23.199   -53:41:21.74
  0169.760_0332.733V     0168.882_0332.666i   17:40:23.159   -53:40:38.46
  0169.908_0731.200V     0170.220_0731.212i   17:40:22.978   -53:37:20.56
  0170.401_0027.860V     0169.763_0027.713i   17:40:23.341   -53:43:09.87
  0170.428_0695.535V     0169.653_0695.356i   17:40:23.024   -53:37:38.27
  0170.477_0418.633V     0169.747_0418.500i   17:40:23.158   -53:39:55.79
  0171.059_0570.843V     0170.197_0570.603i   17:40:23.118   -53:38:40.20
  0171.181_0491.928V     0170.465_0491.827i   17:40:23.163   -53:39:19.39
  0171.473_0261.270V     0170.815_0260.919i   17:40:23.289   -53:41:13.95
  0171.756_0475.709V     0171.004_0475.478i   17:40:23.203   -53:39:27.44
  0171.889_0575.272V     0171.197_0575.135i   17:40:23.163   -53:38:37.99
  0172.101_0788.873V     0172.442_0788.695i   17:40:23.073   -53:36:51.91
  0172.516_0433.036V     0171.808_0432.900i   17:40:23.265   -53:39:48.63
  0172.615_0487.223V     0172.424_0486.419i   17:40:23.245   -53:39:21.72
  0172.777_0954.082V     0173.245_0953.195i   17:40:23.032   -53:35:29.85
  0173.508_0614.056V     0172.633_0613.613i   17:40:23.234   -53:38:18.73
  0173.669_0166.810V     0173.020_0166.609i   17:40:23.457   -53:42:00.85
  0174.212_0198.175V     0173.493_0198.006i   17:40:23.472   -53:41:45.27
  0174.645_0309.674V     0173.935_0309.456i   17:40:23.443   -53:40:49.89
  0174.867_0878.873V     0175.205_0878.714i   17:40:23.184   -53:36:07.20
  0174.958_0513.551V     0174.257_0513.393i   17:40:23.363   -53:39:08.63
  0175.148_0864.485V     0175.557_0864.284i   17:40:23.207   -53:36:14.34
  0175.421_0546.847V     0174.663_0546.648i   17:40:23.373   -53:38:52.10
  0175.784_0162.057V     0175.570_0161.459i   17:40:23.578   -53:42:03.20
  0176.401_0293.902V     0175.691_0293.891i   17:40:23.549   -53:40:57.72
  0176.622_0758.165V     0176.953_0758.061i   17:40:23.340   -53:37:07.14
  0176.669_0367.403V     0176.019_0367.660i   17:40:23.529   -53:40:21.21
  0176.852_0688.135V     0176.206_0688.009i   17:40:23.386   -53:37:41.92
  0177.197_0588.060V     0176.588_0587.904i   17:40:23.453   -53:38:31.62
  0178.645_0474.621V     0178.902_0473.289i   17:40:23.588   -53:39:27.95
  0178.834_0314.696V     0178.154_0314.510i   17:40:23.675   -53:40:47.38
  0178.990_0338.472V     0178.322_0338.373i   17:40:23.672   -53:40:35.57
  0179.107_0655.311V     0178.463_0655.213i   17:40:23.527   -53:37:58.21
  0179.156_1099.307V     0178.635_1099.168i   17:40:23.318   -53:34:17.70
  0179.700_0641.400V     0179.193_0641.271i   17:40:23.567   -53:38:05.12
  0180.164_0207.363V     0179.354_0207.451i   17:40:23.801   -53:41:40.68
  0180.543_0428.498V     0179.740_0428.342i   17:40:23.716   -53:39:50.85
  0180.561_0717.962V     0180.073_0718.007i   17:40:23.579   -53:37:27.09
  0180.628_0819.443V     0180.107_0819.191i   17:40:23.534   -53:36:36.69
  0180.692_0403.973V     0180.008_0403.868i   17:40:23.736   -53:40:03.03
  0180.826_0480.294V     0180.100_0480.149i   17:40:23.707   -53:39:25.13
  0180.919_0117.312V     0180.117_0117.139i   17:40:23.886   -53:42:25.40
  0181.249_0280.811V     0180.632_0280.447i   17:40:23.826   -53:41:04.20
  0181.446_1138.881V     0180.784_1138.534i   17:40:23.427   -53:33:58.04
  0182.420_1118.814V     0181.865_1118.431i   17:40:23.491   -53:34:08.00
  0182.447_0823.944V     0181.680_0823.594i   17:40:23.633   -53:36:34.45
  0182.483_0546.688V     0181.842_0546.576i   17:40:23.768   -53:38:52.15
  0182.487_0746.186V     0181.688_0746.029i   17:40:23.673   -53:37:13.06
  0182.624_0289.102V     0182.107_0288.963i   17:40:23.899   -53:41:00.07
  0183.163_0061.017V     0182.562_0060.856i   17:40:24.039   -53:42:53.35
  0183.818_0772.254V     0183.211_0772.144i   17:40:23.735   -53:37:00.11
  0184.210_0254.903V     0183.624_0254.792i   17:40:24.004   -53:41:17.05
  0184.443_0093.831V     0183.839_0093.649i   17:40:24.095   -53:42:37.05
  0184.546_0183.043V     0184.050_0182.805i   17:40:24.058   -53:41:52.74
  0184.722_0869.244V     0184.156_0869.171i   17:40:23.739   -53:36:11.94
  0184.780_1091.415V     0184.289_1091.247i   17:40:23.636   -53:34:21.60
  0184.897_0811.153V     0184.291_0811.026i   17:40:23.776   -53:36:40.79
  0185.120_0126.465V     0184.544_0126.178i   17:40:24.117   -53:42:20.84
  0185.174_1059.769V     0184.386_1059.631i   17:40:23.673   -53:34:37.31
  0185.453_0044.287V     0184.888_0044.421i   17:40:24.175   -53:43:01.65
  0186.637_0219.756V     0185.915_0219.416i   17:40:24.157   -53:41:34.50
  0186.952_0537.101V     0186.062_0537.043i   17:40:24.022   -53:38:56.89
  0187.204_0473.100V     0186.633_0473.052i   17:40:24.067   -53:39:28.67
  0187.333_0797.709V     0186.735_0797.547i   17:40:23.919   -53:36:47.46
  0187.514_0746.307V     0186.773_0746.171i   17:40:23.953   -53:37:12.98
  0187.926_0939.993V     0188.344_0938.815i   17:40:23.883   -53:35:36.79
  0188.581_0579.654V     0187.933_0579.520i   17:40:24.093   -53:38:35.75
  0188.829_0739.887V     0188.263_0739.794i   17:40:24.030   -53:37:16.17
  0188.867_0871.323V     0188.307_0871.106i   17:40:23.969   -53:36:10.89
  0188.931_0598.485V     0188.269_0598.297i   17:40:24.103   -53:38:26.39
  0188.987_0441.592V     0188.275_0441.480i   17:40:24.182   -53:39:44.31
  0189.213_0421.329V     0188.406_0421.309i   17:40:24.204   -53:39:54.38
  0190.376_0297.434V     0189.652_0297.331i   17:40:24.329   -53:40:55.90
  0190.618_0407.464V     0189.989_0407.352i   17:40:24.289   -53:40:01.26
  0190.706_0714.450V     0190.055_0714.377i   17:40:24.147   -53:37:28.79
  0191.120_0913.171V     0191.419_0912.151i   17:40:24.075   -53:35:50.10
  0191.341_0046.404V     0190.801_0046.306i   17:40:24.503   -53:43:00.57
  0191.952_0460.812V     0191.256_0460.693i   17:40:24.338   -53:39:34.76
  0192.060_0974.444V     0192.215_0973.298i   17:40:24.098   -53:35:19.66
  0192.107_0392.792V     0191.384_0392.749i   17:40:24.380   -53:40:08.54
  0192.497_0184.405V     0191.826_0184.246i   17:40:24.502   -53:41:52.03
  0192.982_0569.506V     0192.230_0569.392i   17:40:24.343   -53:38:40.77
  0193.292_0261.101V     0192.587_0260.909i   17:40:24.509   -53:41:13.94
  0194.050_0611.512V     0193.366_0611.328i   17:40:24.383   -53:38:19.90
  0194.129_0368.491V     0193.601_0367.897i   17:40:24.504   -53:40:20.60
  0194.643_0098.071V     0193.968_0098.093i   17:40:24.663   -53:42:34.90
  0195.056_1023.314V     0195.501_1022.072i   17:40:24.241   -53:34:55.38
  0195.132_0691.200V     0194.470_0691.050i   17:40:24.405   -53:37:40.32
  0195.581_0464.177V     0194.917_0463.983i   17:40:24.539   -53:39:33.07
  0195.790_0838.459V     0195.166_0838.276i   17:40:24.371   -53:36:27.18
  0196.000_0681.841V     0195.307_0681.761i   17:40:24.458   -53:37:44.96
  0197.745_0592.253V     0197.030_0592.125i   17:40:24.598   -53:38:29.45
  0198.027_0143.036V     0197.493_0142.887i   17:40:24.831   -53:42:12.55
  0198.038_1009.091V     0198.462_1007.976i   17:40:24.414   -53:35:02.43
  0198.232_0281.260V     0197.476_0281.157i   17:40:24.776   -53:41:03.90
  0198.278_0633.082V     0197.489_0633.055i   17:40:24.609   -53:38:09.17
  0198.283_1118.569V     0197.754_1118.409i   17:40:24.375   -53:34:08.05
  0198.428_0485.679V     0197.676_0485.605i   17:40:24.688   -53:39:22.38
  0198.766_0558.701V     0198.059_0558.586i   17:40:24.672   -53:38:46.11
  0199.240_0794.731V     0198.575_0794.522i   17:40:24.585   -53:36:48.88
  0199.387_0841.866V     0198.727_0841.724i   17:40:24.570   -53:36:25.47
  0200.356_0097.544V     0199.743_0097.491i   17:40:24.983   -53:42:35.14
  0200.625_0057.476V     0199.366_0055.787i   17:40:25.018   -53:42:55.03
  0200.899_0612.169V     0200.421_0612.143i   17:40:24.765   -53:38:19.55
  0200.996_0090.210V     0200.468_0090.024i   17:40:25.022   -53:42:38.78
  0201.107_0274.829V     0200.418_0274.613i   17:40:24.939   -53:41:07.08
  0201.656_0368.876V     0200.940_0368.797i   17:40:24.925   -53:40:20.37
  0202.119_0085.464V     0201.471_0085.379i   17:40:25.088   -53:42:41.13
  0202.144_0158.250V     0201.479_0158.148i   17:40:25.054   -53:42:04.98
  0202.414_0457.649V     0201.596_0457.384i   17:40:24.924   -53:39:36.28
  0202.531_0293.802V     0201.900_0293.707i   17:40:25.010   -53:40:57.66
  0202.769_0397.451V     0202.022_0397.337i   17:40:24.973   -53:40:06.18
  0202.826_0141.191V     0202.104_0140.859i   17:40:25.100   -53:42:13.45
  0203.337_0303.386V     0202.677_0303.193i   17:40:25.050   -53:40:52.89
  0203.893_0322.071V     0203.129_0321.931i   17:40:25.072   -53:40:43.61
  0204.053_0928.619V     0204.593_0927.684i   17:40:24.789   -53:35:42.37
  0204.466_0782.871V     0203.848_0782.733i   17:40:24.882   -53:36:54.75
  0204.574_0553.061V     0203.978_0552.778i   17:40:24.999   -53:38:48.89
  0205.279_1013.065V     0205.756_1011.893i   17:40:24.816   -53:35:00.42
  0206.377_0397.854V     0205.936_0397.686i   17:40:25.175   -53:40:05.96
  0206.604_0682.299V     0205.930_0682.089i   17:40:25.050   -53:37:44.69
  0207.108_0676.576V     0206.393_0676.396i   17:40:25.081   -53:37:47.53
  0207.165_0445.659V     0206.037_0446.091i   17:40:25.195   -53:39:42.22
  0207.273_0488.108V     0206.473_0487.997i   17:40:25.181   -53:39:21.13
  0207.299_0511.074V     0206.360_0511.104i   17:40:25.171   -53:39:09.73
  0207.411_0452.831V     0206.691_0452.679i   17:40:25.206   -53:39:38.65
  0207.799_0641.273V     0207.104_0641.191i   17:40:25.136   -53:38:05.06
  0208.045_0474.325V     0207.283_0474.281i   17:40:25.231   -53:39:27.98
  0208.080_1112.055V     0207.565_1111.875i   17:40:24.925   -53:34:11.25
  0208.092_0524.178V     0207.470_0524.159i   17:40:25.209   -53:39:03.22
  0208.292_0763.966V     0207.574_0763.969i   17:40:25.105   -53:37:04.12
  0208.643_0178.389V     0208.106_0178.266i   17:40:25.408   -53:41:54.95
  0209.470_0270.143V     0208.772_0270.049i   17:40:25.409   -53:41:09.38
  0209.559_0162.372V     0208.898_0162.192i   17:40:25.467   -53:42:02.90
  0209.848_0233.701V     0209.183_0233.544i   17:40:25.448   -53:41:27.47
  0209.919_0205.719V     0209.190_0205.518i   17:40:25.466   -53:41:41.37
  0211.101_0385.801V     0210.392_0385.720i   17:40:25.444   -53:40:11.93
  0211.299_0967.177V     0211.768_0966.095i   17:40:25.174   -53:35:23.19
  0211.619_0219.656V     0211.028_0219.512i   17:40:25.554   -53:41:34.44
  0211.875_0857.014V     0211.314_0856.820i   17:40:25.260   -53:36:17.90
  0211.945_0675.065V     0211.229_0674.945i   17:40:25.351   -53:37:48.26
  0212.021_0330.865V     0211.369_0330.880i   17:40:25.522   -53:40:39.21
  0212.052_0348.462V     0211.375_0348.309i   17:40:25.516   -53:40:30.47
  0212.266_0696.143V     0211.460_0696.101i   17:40:25.359   -53:37:37.79
  0212.654_0253.049V     0211.966_0252.665i   17:40:25.596   -53:41:17.85
  0212.818_0415.942V     0212.095_0415.828i   17:40:25.526   -53:39:56.95
  0212.860_0510.411V     0212.173_0510.416i   17:40:25.482   -53:39:10.03
  0213.264_0533.138V     0212.507_0532.990i   17:40:25.494   -53:38:58.74
  0213.331_0754.142V     0212.674_0753.964i   17:40:25.391   -53:37:08.98
  0213.776_0208.230V     0213.063_0208.024i   17:40:25.680   -53:41:40.11
  0213.927_0306.617V     0213.250_0306.483i   17:40:25.641   -53:40:51.24
  0214.162_0796.131V     0213.673_0795.865i   17:40:25.417   -53:36:48.12
  0214.265_0652.317V     0213.619_0652.197i   17:40:25.492   -53:37:59.55
  0214.279_0075.062V     0213.715_0074.900i   17:40:25.773   -53:42:46.24
  0215.192_0485.234V     0214.363_0485.149i   17:40:25.625   -53:39:22.53
  0215.204_0555.671V     0214.513_0555.571i   17:40:25.591   -53:38:47.54
  0215.206_0602.196V     0214.478_0602.081i   17:40:25.569   -53:38:24.44
  0215.566_0201.653V     0214.877_0201.579i   17:40:25.783   -53:41:43.37
  0215.736_0451.961V     0215.324_0451.148i   17:40:25.671   -53:39:39.05
  0216.200_0179.213V     0215.550_0179.047i   17:40:25.830   -53:41:54.51
  0216.353_0156.504V     0215.660_0156.292i   17:40:25.849   -53:42:05.78
  0216.672_0790.326V     0215.895_0790.185i   17:40:25.560   -53:36:51.00
  0217.851_0327.022V     0217.088_0326.907i   17:40:25.850   -53:40:41.09
  0217.958_0285.597V     0217.346_0285.486i   17:40:25.876   -53:41:01.66
  0218.590_0491.572V     0217.879_0491.485i   17:40:25.812   -53:39:19.36
  0218.976_0453.802V     0218.232_0453.716i   17:40:25.851   -53:39:38.12
  0219.570_0556.204V     0218.973_0556.059i   17:40:25.835   -53:38:47.26
  0219.581_0432.166V     0218.848_0432.033i   17:40:25.896   -53:39:48.86
  0219.867_0610.297V     0219.280_0610.099i   17:40:25.825   -53:38:20.39
  0220.049_0191.994V     0219.216_0191.862i   17:40:26.039   -53:41:48.14
  0220.188_0971.121V     0220.566_0969.953i   17:40:25.668   -53:35:21.19
  0220.607_0262.912V     0219.724_0262.699i   17:40:26.035   -53:41:12.92
  0220.943_0909.794V     0221.394_0908.684i   17:40:25.740   -53:35:51.64
  0221.396_0418.386V     0220.674_0418.257i   17:40:26.004   -53:39:55.70
  0221.458_0320.239V     0220.603_0320.197i   17:40:26.055   -53:40:44.44
  0221.775_0863.148V     0221.126_0863.121i   17:40:25.809   -53:36:14.81
  0222.173_0478.985V     0221.425_0478.870i   17:40:26.018   -53:39:25.60
  0222.235_1086.071V     0221.551_1086.039i   17:40:25.727   -53:34:24.09
  0222.298_0247.969V     0221.470_0247.749i   17:40:26.137   -53:41:20.33
  0222.689_0904.102V     0223.055_0902.998i   17:40:25.840   -53:35:54.46
  0223.009_0314.007V     0222.444_0313.811i   17:40:26.145   -53:40:47.53
  0223.417_0030.235V     0222.935_0029.970i   17:40:26.306   -53:43:08.47
  0223.686_0069.639V     0223.039_0069.494i   17:40:26.302   -53:42:48.89
  0224.079_0422.449V     0223.737_0422.414i   17:40:26.152   -53:39:53.67
  0225.067_0368.092V     0224.430_0368.034i   17:40:26.234   -53:40:20.66
  0225.226_0303.908V     0224.447_0303.734i   17:40:26.274   -53:40:52.54
  0225.447_0225.145V     0224.676_0224.977i   17:40:26.324   -53:41:31.66
  0225.619_0980.559V     0226.021_0979.488i   17:40:25.967   -53:35:16.48
  0225.830_0285.285V     0225.179_0285.239i   17:40:26.317   -53:41:01.78
  0226.349_0605.501V     0225.784_0605.373i   17:40:26.190   -53:38:22.75
  0226.366_0470.761V     0225.628_0470.689i   17:40:26.256   -53:39:29.67
  0226.807_0271.813V     0226.136_0271.668i   17:40:26.378   -53:41:08.47
  0227.266_0042.332V     0226.585_0042.179i   17:40:26.515   -53:43:02.44
  0227.471_1083.130V     0226.840_1082.986i   17:40:26.020   -53:34:25.53
  0227.932_0499.160V     0227.238_0499.047i   17:40:26.330   -53:39:15.56
  0227.999_0429.512V     0226.998_0429.787i   17:40:26.367   -53:39:50.15
  0228.898_0234.562V     0227.801_0233.897i   17:40:26.513   -53:41:26.96
  0229.145_0281.574V     0228.370_0281.190i   17:40:26.504   -53:41:03.61
  0229.208_0246.815V     0228.427_0246.889i   17:40:26.524   -53:41:20.88
  0229.264_0323.953V     0228.493_0323.886i   17:40:26.490   -53:40:42.57
  0229.791_0343.249V     0228.951_0343.234i   17:40:26.510   -53:40:32.98
  0229.969_0202.833V     0229.255_0202.668i   17:40:26.588   -53:41:42.72
  0230.429_0052.819V     0230.026_0052.829i   17:40:26.687   -53:42:57.22
  0230.586_0706.716V     0229.750_0706.655i   17:40:26.377   -53:37:32.46
  0230.593_0288.842V     0229.747_0288.727i   17:40:26.581   -53:41:00.00
  0230.601_0549.310V     0229.862_0549.191i   17:40:26.454   -53:38:50.64
  0230.724_0545.354V     0229.943_0545.087i   17:40:26.463   -53:38:52.60
  0231.035_0717.217V     0230.348_0717.171i   17:40:26.397   -53:37:27.24
  0231.278_0396.948V     0230.514_0396.782i   17:40:26.567   -53:40:06.30
  0231.995_0678.004V     0231.361_0677.910i   17:40:26.470   -53:37:46.71
  0232.235_1098.077V     0231.653_1097.911i   17:40:26.278   -53:34:18.09
  0232.326_0495.360V     0231.733_0495.346i   17:40:26.577   -53:39:17.42
  0232.937_0585.689V     0232.239_0585.611i   17:40:26.567   -53:38:32.56
  0233.692_0298.452V     0232.823_0298.284i   17:40:26.750   -53:40:55.21
  0233.739_0380.985V     0233.045_0380.815i   17:40:26.712   -53:40:14.22
  0234.070_0817.753V     0233.405_0817.603i   17:40:26.517   -53:36:37.30
  0234.436_0746.920V     0233.715_0746.978i   17:40:26.572   -53:37:12.48
  0234.932_0665.891V     0234.227_0665.793i   17:40:26.639   -53:37:52.72
  0235.047_1023.805V     0235.359_1022.740i   17:40:26.471   -53:34:54.96
  0235.159_0847.061V     0234.459_0846.975i   17:40:26.564   -53:36:22.74
  0235.225_0142.940V     0234.556_0142.780i   17:40:26.912   -53:42:12.44
  0235.232_0344.697V     0234.489_0344.486i   17:40:26.813   -53:40:32.24
  0235.410_0340.034V     0234.688_0339.638i   17:40:26.825   -53:40:34.55
  0235.753_0360.899V     0235.022_0360.795i   17:40:26.834   -53:40:24.19
  0235.911_0230.342V     0235.213_0230.141i   17:40:26.907   -53:41:29.03
  0235.939_0411.121V     0235.232_0411.038i   17:40:26.820   -53:39:59.24
  0235.961_0599.905V     0235.349_0599.733i   17:40:26.729   -53:38:25.49
  0236.044_1054.186V     0236.427_1053.060i   17:40:26.512   -53:34:39.87
  0236.080_0385.055V     0235.358_0384.988i   17:40:26.841   -53:40:12.19
  0236.585_0146.908V     0235.532_0147.518i   17:40:26.986   -53:42:10.46
  0236.594_0291.649V     0235.835_0291.411i   17:40:26.915   -53:40:58.58
  0237.107_0707.872V     0236.365_0707.871i   17:40:26.740   -53:37:31.86
  0237.603_0510.061V     0236.827_0510.003i   17:40:26.865   -53:39:10.10
  0237.781_0279.603V     0236.926_0279.483i   17:40:26.987   -53:41:04.55
  0239.342_0578.295V     0238.598_0578.161i   17:40:26.929   -53:38:36.20
  0239.373_0938.648V     0239.747_0937.529i   17:40:26.754   -53:35:37.23
  0239.529_0197.462V     0238.921_0197.332i   17:40:27.125   -53:41:45.34
  0239.613_0270.419V     0238.860_0270.363i   17:40:27.094   -53:41:09.11
  0239.857_0424.755V     0239.002_0424.660i   17:40:27.032   -53:39:52.46
  0239.936_0638.114V     0239.192_0638.075i   17:40:26.932   -53:38:06.49
